onset	duration	value	trial_type	response_correct	gaze_ok	include
9.1675	5	1	Covert Right	1	1	1
28.66375	5	1	Covert Left	1	1	1
46.42125	5	1	Covert Right	1	1	1
65.08375	5	1	Covert Right	1	1	1
85.0375	5	1	Covert Left	1	1	1
104.1375	5	1	Covert Left	1	1	1
123.15375	5	1	Covert Left	1	1	1
146.51625	5	1	Covert Right	1	1	1
164.37	5	1	Covert Left	1	1	1
183.9975	5	1	Covert Right	1	1	1
203.1325	5	1	Covert Right	1	1	1
223.485	5	1	Covert Left	1	1	1
243.725	5	1	Covert Right	1	1	1
263.78375	5	1	Covert Right	1	1	1
283.3625	5	1	Covert Right	1	1	1
301.31375	5	1	Covert Right	1	1	1
318.91125	5	1	Covert Left	1	1	1
338.0175	5	1	Covert Right	1	1	1
356.75625	5	1	Covert Left	1	0	0
377.2675	5	1	Covert Left	1	1	1
399.28125	5	1	Covert Left	1	1	1
417.88375	5	1	Covert Right	1	1	1
436.32875	5	1	Covert Right	1	1	1
455.2925	5	1	Covert Left	1	1	1
479.21625	5	1	Covert Right	1	1	1
497.16625	5	1	Covert Right	1	1	1
515.9475	5	1	Covert Left	1	1	1
536.3625	5	1	Covert Right	1	1	1
554.95125	5	1	Covert Left	1	1	1
574.12625	5	1	Covert Right	1	1	1
