onset	duration	value	trial_type	response_correct	gaze_ok	include
44.1853510999999	5	1	Overtcontrol Right	1	1	1
79.1973654999999	5	1	Overtcontrol Right	1	1	1
113.9975326	5	1	Overtcontrol Right	1	1	1
149.6183569	5	1	Overtcontrol Left	1	1	1
185.9879912	5	1	Overtcontrol Right	1	1	1
222.2877053	5	1	Overtcontrol Left	1	1	1
256.6526797	5	1	Overtcontrol Left	1	0	0
291.2495816	5	1	Overtcontrol Right	1	1	1
326.774624	5	1	Overtcontrol Left	1	1	1
361.9897405	5	1	Overtcontrol Right	1	1	1
397.1405154	5	1	Overtcontrol Right	1	1	1
432.9816188	5	1	Overtcontrol Left	1	1	1
468.6211827	5	1	Overtcontrol Right	1	1	1
504.246095	5	1	Overtcontrol Right	0	1	0
540.9947977	5	1	Overtcontrol Right	1	1	1
577.454992	5	1	Overtcontrol Right	1	1	1
613.1318833	5	1	Overtcontrol Right	1	1	1
649.3471232	5	1	Overtcontrol Right	1	1	1
684.3682458	5	1	Overtcontrol Right	1	1	1
720.2969249	5	1	Overtcontrol Left	1	1	1
