onset	duration	value	trial_type
19.9075	10	1	Control Left
38.32375	10	1	Control Left
55.2	10	1	Control Right
72.70875	10	1	Control Right
89.80625	10	1	Control Right
107.66875	10	1	Control Left
125.65125	10	1	Control Right
143.4025	10	1	Control Left
161.10375	10	1	Control Right
177.80875	10	1	Control Left
195.26625	10	1	Control Left
212.68625	10	1	Control Left
230.00875	10	1	Control Left
247.15375	10	1	Control Left
264.16125	10	1	Control Left
281.03375	10	1	Control Left
298.75625	10	1	Control Right
317.16375	10	1	Control Left
335.4275	10	1	Control Right
353.06	10	1	Control Right
